,AcresBurned,ArchiveYear,Counties,CountyIds,CrewsInvolved,Fatalities,Latitude,Longitude,Name,PersonnelInvolved,Started,StructuresDamaged,StructuresDestroyed,UniqueId,Year,Month,Year-Month
32,572.0,2013,El Dorado,9,,,38.774,-120.29799999999999,Kyburz Fire,,2013-07-08 12:45:00+00:00,,,d778a3f0-2d23-43c1-b9bc-1ea33898fab2,2013,07,2013-07
33,534.0,2013,San Bernardino,36,29.0,,34.071556,-117.048397,Mills Fire,282.0,2013-06-28 14:30:00+00:00,1.0,0.0,6011819c-19ac-46c2-aa48-0ee8be0e48c0,2013,06,2013-06
34,513.0,2013,Plumas,32,,,40.00842,-120.76466599999999,Plumas Lightning Complex (Hough),,2013-08-18 18:30:00+00:00,,,5015b3c2-2bae-4cce-9bf8-f1b25b0ce1e6,2013,08,2013-08
35,510.0,2013,Riverside,33,,,33.894055,-116.855019,Gorgonio Fire,,2013-05-04 11:43:00+00:00,,,958ce6d2-97f9-4848-8620-d14ab87f329d,2013,05,2013-05
36,502.0,2013,Modoc,25,,,41.2415,-121.035,Fox Fire (formally 3-7 Fire),,2013-07-03 22:56:00+00:00,,,8b51033d-abc6-4ea4-8983-990ad4e1c45e,2013,07,2013-07
37,500.0,2013,San Luis Obispo,40,,,35.15832,-120.05131000000002,Branch Fire,,2013-06-01 17:27:00+00:00,,,213dc89e-9f29-4480-91a6-aec5fb694999,2013,06,2013-06
38,492.0,2013,Contra Costa,7,,,37.96866,-121.91453,Kirker Fire,,2013-07-01 13:19:00+00:00,,,522114fe-ada8-49a9-9bb2-5891103ff0ca,2013,07,2013-07
39,482.0,2013,Madera,20,,,37.015575,-119.78106000000001,Rolling Fire,,2013-06-16 18:17:00+00:00,,1.0,05d0fed7-8502-4a6f-9c5c-b9cee0e75408,2013,06,2013-06
40,413.0,2013,San Bernardino,36,,,34.302,-117.598,Gobblers Fire,,2013-08-20 13:32:00+00:00,,,b202bd85-c5ef-4bdf-8270-d556f95c3742,2013,08,2013-08
41,406.0,2013,Inyo,14,25.0,,36.602575,-118.01651000000001,River Fire,476.0,2013-02-24 08:16:00+00:00,,0.0,094719ba-a47b-4abb-9ec5-a506b2b9fd23,2013,02,2013-02
42,376.0,2013,Napa,28,,,38.628,-122.289,Putah Fire,4.0,2013-10-03 20:33:00+00:00,,,1f94fce5-49a5-4220-bc99-f003ab4d3e60,2013,10,2013-10
43,354.0,2013,San Benito,35,,,37.160346000000004,-120.937494,Tres Pinos Fire,,2013-05-03 11:42:00+00:00,,,ca68f3c4-4906-4952-b794-4531d7da8369,2013,05,2013-05
44,311.0,2013,Riverside,33,,,0.0,0.0,Jurupa Fire,,2013-02-28 16:43:00+00:00,,,99cb21da-9639-4300-9a97-1cadc993189f,2013,02,2013-02
45,305.0,2013,Butte,4,4.0,,39.439,-121.49700000000001,Summit Fire,259.0,2013-10-04 17:37:00+00:00,,4.0,d922e7c8-814a-412b-a40b-53072d0983ea,2013,10,2013-10
46,303.0,2013,San Joaquin,39,,,38.049929999999996,-120.90325,Shelton Fire,,2013-05-30 11:20:00+00:00,,,0b51d59b-457d-4a62-b066-55c2b8d400e2,2013,05,2013-05
47,298.0,2013,Butte,4,3.0,,39.434183000000004,-121.57680400000001,Lone Fire,,2013-06-03 13:49:00+00:00,,9.0,1a5192f1-bc99-4130-8683-381e0534b76a,2013,06,2013-06
48,296.0,2013,Lake,17,,,0.0,0.0,Becks Fire,,2013-01-22 11:08:00+00:00,,,7a4a3552-3bea-4428-984c-e2edef13980f,2013,01,2013-01
49,274.0,2013,Contra Costa,7,,,39.90465,-121.74367,Concord Fire,,2013-07-01 15:41:00+00:00,,,95399a9c-8b3e-4413-9f56-5ed57d3d81b3,2013,07,2013-07
50,274.0,2013,Madera,20,,,37.116295,-119.63500400000001,Gold Fire,,2013-04-30 12:59:00+00:00,,,357ffc13-bef9-48eb-810f-c5de851972eb,2013,04,2013-04
51,268.0,2013,Los Angeles,19,,,34.149,-117.90799999999999,Madre Fire,,2013-09-23 18:00:00+00:00,,,eb5a3f2a-0c25-417a-af78-bb0d643247c7,2013,09,2013-09
52,263.0,2013,San Diego,37,4.0,,32.710918,-116.746023,Lyon Fire,294.0,2013-09-09 13:09:00+00:00,,,f6f6fefa-ac4e-466f-815e-492416e37b98,2013,09,2013-09
53,243.0,2013,San Bernardino,36,,,34.35,-117.62,Sharp Fire,,2013-08-08 12:15:00+00:00,,,62eabea3-40be-497d-94e4-150f011b925f,2013,08,2013-08
54,240.0,2013,Alameda,1,,,37.775057000000004,-121.73721299999998,Vasco Fire,,2013-06-08 10:16:00+00:00,,,2ad509e4-99f1-4e1a-81eb-839f772f9c45,2013,06,2013-06
55,237.0,2013,Placer,31,,,38.729296999999995,-121.38086200000001,PFE Fire,,2013-06-13 11:28:00+00:00,,,fe47b1c2-b9c0-44be-8d10-f270056db35c,2013,06,2013-06
56,226.0,2013,Glenn,11,,,0.0,0.0,Daves Fire,,2013-06-12 15:17:00+00:00,,,f3a3c56c-d2fc-49df-b0e2-ab36356b17d4,2013,06,2013-06
57,217.0,2013,Glenn,11,11.0,,39.514139,-122.56086200000001,306 Fire,221.0,2013-05-01 19:00:00+00:00,,,5649e78d-7c26-4698-89a0-b0fa9a35cf78,2013,05,2013-05
58,213.0,2013,Monterey,27,,,0.0,0.0,Tassajara Fire,,2013-07-17 13:23:00+00:00,,,0d38ff45-833e-488a-881f-30f24678c49c,2013,07,2013-07
