UniqueId,Year-Month,Counties,AcresBurned,MEDIAN_TMAX,cum_prcp,COUNTY_Alameda,COUNTY_Alpine,COUNTY_Amador,COUNTY_Butte,COUNTY_Calaveras,COUNTY_Colusa,COUNTY_ContraCosta,COUNTY_DelNorte,COUNTY_ElDorado,COUNTY_Fresno,COUNTY_Glenn,COUNTY_Humboldt,COUNTY_Inyo,COUNTY_Kern,COUNTY_Kings,COUNTY_Lake,COUNTY_Lassen,COUNTY_LosAngeles,COUNTY_Madera,COUNTY_Marin,COUNTY_Mariposa,COUNTY_Mendocino,COUNTY_Merced,COUNTY_Modoc,COUNTY_Mono,COUNTY_Monterey,COUNTY_Napa,COUNTY_Nevada,COUNTY_Orange,COUNTY_Placer,COUNTY_Plumas,COUNTY_Riverside,COUNTY_Sacramento,COUNTY_SanBenito,COUNTY_SanBernardino,COUNTY_SanDiego,COUNTY_SanJoaquin,COUNTY_SanLuisObispo,COUNTY_SanMateo,COUNTY_SantaBarbara,COUNTY_SantaClara,COUNTY_SantaCruz,COUNTY_Shasta,COUNTY_Siskiyou,COUNTY_Solano,COUNTY_Sonoma,COUNTY_Trinity,COUNTY_Tuolumne,COUNTY_Ventura,COUNTY_Yolo,COUNTY_Yuba,Month_x_1,Month_x_2,Month_x_3,Month_x_4,Month_x_5,Month_x_6,Month_x_7,Month_x_8,Month_x_9,Month_x_10,Month_x_11,Month_x_12,PC 1,PC 2,PC 3,Class
5fb18d4d-213f-4d83-a179-daaf11939e78,2013-08,Tuolumne,257314.0,68.3,5.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0081133387407037,-0.7120149849169093,4.616332028732556,0
bf37805e-1cc2-4208-9972-753e47874c87,2013-05,LosAngeles,30274.0,78.3,3.43725490196078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5105637442027662,2.3342123374072727,0.6797574939824386,0
a3149fec-4d48-427c-8b2c-59e8b79d59db,2013-07,Riverside,27531.0,96.6,2.97418025907681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2.4661066749418294,0.41229090197281304,0.7773938514126442,3
8213f5c7-34fa-403b-a4bc-da2ace6e6625,2013-08,Placer,27440.0,77.2,9.09080473856209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.1443247476707064,0.09085967494195231,0.30548960907352046,0
46731fb8-3350-4920-bdf7-910ac0eb715c,2013-05,Ventura,24251.0,77.65,2.58929853479853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.946066034692963,2.415832118191635,1.075110392615444,0
bee8c339-4f26-4b78-a5b4-a8a0ebdb8786,2013-07,Fresno,22992.0,97.1,2.92160119047619,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.9670184111442255,0.30377554891789005,1.2638103000781051,3
c400203b-a7fd-4bd8-803a-f3c74bc32a2b,2013-08,Riverside,20292.0,97.6,3.46158766648422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2.158294493476662,0.46010805459893206,0.33670856286210865,3
ba76c009-09c9-497c-b923-1ac8cf05c20d,2013-07,Siskiyou,14754.0,92.7652173913043,6.2444856442577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.7562153809596561,-0.4458017320967677,0.7467010636266707,3
f3dcbca8-f8ed-46d0-8f6e-9c7fc2fb03e6,2013-08,Humboldt,12503.0,78.5,14.4935004898483,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7919906311033256,-0.8989314772871244,1.321373626918877,2
92af9783-eda9-4186-afe9-447f61a92636,2013-09,Shasta,8073.0,80.82,11.7817224761551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3644345256135684,-1.0165966426235362,0.6059650690768067,2
