UniqueId,Year-Month,Counties,AcresBurned,Month_x,COUNTY,MEDIAN_TMAX,MEAN_PRCP,cum_prcp
95399a9c-8b3e-4413-9f56-5ed57d3d81b3,2013-07,ContraCosta,274.0,7,ContraCosta,84.3,0.0,2.76174358974359
357ffc13-bef9-48eb-810f-c5de851972eb,2013-04,Madera,274.0,4,Madera,74.6,0.552857142857143,3.74642857142857
eb5a3f2a-0c25-417a-af78-bb0d643247c7,2013-09,LosAngeles,268.0,9,LosAngeles,87.2,0.00215686274509804,3.52251825037707
f6f6fefa-ac4e-466f-815e-492416e37b98,2013-09,SanDiego,263.0,9,SanDiego,83.5,0.203076923076923,4.88247612006684
62eabea3-40be-497d-94e4-150f011b925f,2013-08,SanBernardino,243.0,8,SanBernardino,94.5,0.486,2.49412713831867
2ad509e4-99f1-4e1a-81eb-839f772f9c45,2013-06,Alameda,240.0,6,Alameda,75.4,0.138421052631579,2.79758771929825
fe47b1c2-b9c0-44be-8d10-f270056db35c,2013-06,Placer,237.0,6,Placer,73.3,1.355625,8.79767973856209
f3a3c56c-d2fc-49df-b0e2-ab36356b17d4,2013-06,Glenn,226.0,6,Glenn,91.8,0.14,3.82333333333333
5649e78d-7c26-4698-89a0-b0fa9a35cf78,2013-05,Glenn,217.0,5,Glenn,82.5,0.203333333333333,3.68333333333333
0d38ff45-833e-488a-881f-30f24678c49c,2013-07,Monterey,213.0,7,Monterey,78.5,0.00823529411764706,3.05296095631235
f7358513-329f-4dba-8980-4cd3a19b469a,2013-09,SanBernardino,200.0,9,SanBernardino,90.8,0.276785714285714,2.77091285260438
f21a41c6-0905-4531-9bdf-2456d0051eed,2013-08,Shasta,196.0,8,Shasta,90.2,0.0630434782608696,10.4998706243032
79d476e5-0b4d-48e2-a105-2bba5c1140e9,2013-11,Napa,190.0,11,Napa,68.65,0.838571428571429,5.78
cb5f34a0-177e-445d-9349-dd94063a01d0,2013-05,SantaBarbara,170.0,5,SantaBarbara,74.4,0.116153846153846,2.85423076923077
0aa08938-eaab-4a60-8891-946197328f94,2013-11,Yolo,163.0,11,Yolo,69.65,0.78125,5.26333333333333
4630e9ce-88ec-4159-9bc9-25ff5f8216cc,2013-07,ElDorado,163.0,7,ElDorado,83.9,0.267692307692308,10.1744230769231
1460f2d9-853b-4901-bed3-ac196e00bb3a,2013-10,Sonoma,159.0,10,Sonoma,74.3,0.0513333333333333,7.85229580486255
c9b5d1ff-c042-4b39-8bac-b10fb6fc6c13,2013-07,Sonoma,158.0,7,Sonoma,79.3666666666667,0.0278571428571429,7.11363210445468
6a48000a-6198-46dd-9a91-0b0159183145,2013-10,Alameda,150.0,10,Alameda,72.5,0.000526315789473684,3.37419590643275
d48a839f-d8da-44d7-9b35-b9f61aa28c61,2013-07,Riverside,150.0,7,Riverside,96.6,0.217777777777778,2.97418025907681
23ec2f69-da30-4983-80c2-1f04bfea6f9a,2013-06,Fresno,150.0,6,Fresno,90.15,0.0,2.8958869047619
28ffc826-6789-429c-9801-f3a02dbb320a,2013-05,Butte,150.0,5,Butte,79.35,0.492727272727273,5.66709090909091
