,fire_name,cause,month,year,county,acres,structures,deaths
0,Mendocino Complex,Human Related,July,2018,"Colusa County, Lake County, Mendocino County & Glenn County",459123,280,1
1,Thomas,Powerlines,December,2017,Ventura & Santa Barbara,281893,1063,2
4,Rim,Human Related,August,2013,Tuolumne,257314,112,0
6,Carr,Human Related,July,2018,"Shasta County,Trinity County",229651,1614,8
15,Camp Fire,Powerlines,November,2018,Butte,153336,18804,85
16,Rough,Lightning,July,2015,Fresno,151623,4,0
