AcresBurned,Counties,Name,UniqueId
13417,Trinity,Buck Fire,7cc06465-bf2a-4df2-a68d-5f330e1cea42
13153,Modoc,Day Fire,e3b7143d-6faa-4962-9fe5-c2d1559c5d20
13139,Riverside,Cranston Fire,999bb931-4f26-4234-bb47-2f0d5b5f6263
12661,Shasta,Bully Fire,3a1fab73-882a-478c-b289-504497db4d64
12536,Mendocino,Lodge Lightning Complex,7c6a9617-1c79-4b4d-9833-e76532f59103
12518,Santa Barbara,Canyon Fire,f6afb8c4-32dc-4e6d-8d30-e6b7ccd4a62f
12503,Humboldt,Corral Complex,f3dcbca8-f8ed-46d0-8f6e-9c7fc2fb03e6
12407,Madera,Railroad Fire,9989e07d-5125-472d-9601-0d7158b13073
12300,San Joaquin,Waverly Fire,4efc7855-ecbf-4507-8435-399e23a91fef
11429,Tehama,Deer Fire,956dbcf6-db40-4b61-b235-4ede14738f1e
10570,Lassen,Dodge Fire,293c6467-7b2e-43a3-94c1-41cec4339b67
10343,Fresno,Elm Fire,65062933-27cf-48d7-8e4c-9a7ac78e65ff
10296,Inyo,Taboose Fire,e7ea56c5-4290-4406-b0a5-c9d1718e9700
9999,Ventura,Maria Fire ,31852a71-e639-496f-9e7d-0968d1c218b3
9989,Yuba,Cascade Fire (Wind Complex),608ed849-d1ec-4b0d-a477-d1b8e9c7e6dd
9217,Orange,Canyon 2 Fire,969c721c-5f27-41d4-9a94-ffa12e351204
8925,Mono,Slinkard Fire,71ea2924-bc37-44f4-b454-47eff22e426c
8838,Tehama,Red Bank Fire,14ad161c-bfc6-41ae-af84-a464084a4142
8799,Los Angeles,Saddle Ridge Fire,c52717d6-0297-4c5b-a0f1-f17abcd7ac27
8417,Butte,Cherokee Fire,adf929a5-d508-4f69-8845-8fa1df8d4f95
8110,San Bernardino,Pilot Fire,69c7b8cc-061e-4ca6-b5e8-83c6ae9d8a25
8094,Mariposa,Empire Fire,2995e2b3-f18d-44ec-952f-9f148b8354d9
8073,Shasta,Clover Fire,92af9783-eda9-4186-afe9-447f61a92636
7697,Modoc,Parker 2 Fire,3e005fd9-11a4-4145-a71f-8a4cf9a1341a
7609,San Diego,Border Fire,33099cdd-ccfc-454e-b5a3-770a69a30bd3
7509,Del Norte,Nickowitz Fire,c4da9583-d7ad-4d8c-834c-3688c1bf3949
7474,Santa Barbara,Sherpa Fire,ffb3293b-3349-49c5-a7cb-c488391e8a72
7194,Los Angeles,La Tuna Fire ,c2bf9820-7e90-43c4-bd3d-1b26ef7ada51
7055,San Diego,Chariot Fire,ee19b2ec-a96a-4738-994e-fb3ea016e053
7050,Fresno,Mineral Fire,346c59b1-375e-4d42-876a-d97b769c939f
7000,Inyo,Round Fire,7ed61f45-7e2b-449b-8ead-d34b75a5e818
7000,Mariposa,South Fork Fire,b02ec4f1-ac5c-4b22-b7fa-5834af16d807
6980,Tulare,Cabin Fire,c316e4c3-4455-4a12-8ecc-af75339adf8f
6974,Mono,Boot Fire,a81f5149-5ac2-48de-a189-609e46f5fad8
6965,Tehama,Panther Fire,53122f0f-fefc-4dbf-b2d8-566b42ced66d
6488,Yolo,Monticello Fire,756d8f5b-bc05-4741-a5a3-3b20ca21906d
6309,Riverside,Manzanita Fire,ca0c9a5f-7a1a-4903-b790-6eb3e85e7e64
6258,Shasta,Coffee Fire,9d3fb01e-c29e-436a-82f8-c110a0b35179
6151,Butte,LaPorte Fire (Wind Complex),4ca0e06c-4e6e-4e00-a4a4-6813e3200bd5
6049,Los Angeles,Rye Fire,1e11fa40-e850-45d2-b65e-05aadc9f02f1
6042,Lassen,Mud Fire,b77ff66d-d8ee-49c9-bd0f-92a4350a095a
6033,Butte,Wall Fire,8816f0da-0818-499a-9ff6-ba4fd56ca7c8
5738,Fresno,Jayne Fire,0cacf259-1ba3-4e8c-a938-feaab2655c4b
5737,Modoc,Lone Fire,81977367-45ad-4962-92f3-ae30f22ef723
5731,Yolo,Cold Fire,057fd4e2-7400-4fc4-9b23-3daf67fc8610
5702,Madera,Willow Fire,8650f48d-5ea2-4dfc-96d2-f0d3f300b1e4
5646,El Dorado,Trailhead Fire,b604ffa7-8cee-4724-bb82-f1f4553a192f
5563,Mariposa,Briceburg Fire,e7aeb204-15af-4a2a-8f2a-bfd2c8dbe411
5503,Siskiyou,Little Deer Fire,59a31adf-4f31-4bf6-a6c6-fe62d2d2587f
5443,Inyo,Owens River Fire,821c040d-a17c-4934-990f-ca7d441a303a
5399,Los Angeles,San Gabriel Complex (Formerly Fish & Reservoir Fires),2b8f9fdc-f812-4d72-9163-c5356d8ae04b
5367,San Diego,Tomahawk Fire,2b35bd0d-169f-4a81-835b-13bf527031a6
5332,Tehama,South Fire,38d46a2f-d1f6-4ed8-a502-e57e393844ea
5247,Stanislaus,Summit Complex,68328f20-5aed-404d-8c29-81b4b69e8439
4883,Humboldt,Humboldt Lightning Fires,5bc18279-c038-4c2a-926c-433fe3cd4287
4863,Modoc,Frog Fire,a063b897-28aa-43e5-b608-1b79f770050c
4840,Monterey,Stoney Fire,e54fa953-24b9-4581-86f3-9931fdf3ca5e
4840,Mono,Springs Fire,226da8c8-26c0-49d7-b5ef-952cd969f918
4824,Los Angeles,Marek Fire,ca1227b3-1458-44c9-b32e-2994e309f940
